,time,open,high,low,close,tick_volume,spread,real_volume
268,1703939580,272.8,273.67,272.8,273.27,7,178,0
269,1703939640,273.45,273.83,273.45,273.63,4,180,0
270,1703939700,273.63,273.93,273.52,273.93,6,187,0
271,1703939760,273.93,273.93,273.69,273.9,3,193,0
272,1703939820,273.9,273.9,272.79,273.56,11,176,0
273,1703939880,273.56,274.27,272.97,274.27,11,154,0
274,1703939940,274.02,274.3,273.64,273.79,5,198,0
275,1703940000,272.91,273.59,272.91,273.39,4,198,0
276,1703940060,272.6,273.09,272.32,272.66,10,196,0
277,1703940120,272.86,273.56,272.86,273.43,12,160,0
278,1703940180,273.43,273.66,272.95,273.5,7,186,0
279,1703940240,273.5,274.13,273.5,274.11,12,185,0
280,1703940300,273.7,274.18,273.53,274.18,6,188,0
281,1703940360,274.18,274.36,273.79,274.34,7,170,0
282,1703940420,274.34,274.34,273.7,274,5,192,0
283,1703940480,274.15,274.42,274.15,274.42,4,174,0
284,1703940540,274.42,274.64,273.97,274.63,8,191,0
285,1703940600,274.9,274.93,274.67,274.93,7,184,0
286,1703940660,275.13,275.13,274.61,274.64,3,194,0
287,1703940720,274.8,274.8,274.33,274.57,4,190,0
288,1703940780,274.36,275.36,274.36,274.91,10,161,0
289,1703940840,274.71,274.89,274.4,274.62,6,168,0
290,1703940900,274.62,274.83,274.62,274.63,3,184,0
291,1703940960,274.44,274.63,273.87,273.87,6,184,0
292,1703941020,273.66,273.9,273,273.54,14,176,0
293,1703941080,273.36,273.61,272.87,273.28,10,195,0
294,1703941140,273.28,274.28,273.28,274.02,12,200,0
295,1703941200,274.24,274.87,274.23,274.87,6,174,0
296,1703941260,274.63,275.21,274.26,275.2,9,166,0
297,1703941320,275.41,275.85,275.18,275.85,9,152,0
298,1703941380,275.85,276.19,275.46,275.46,14,179,0
299,1703941440,275.43,275.56,274.95,275.39,11,182,0
300,1703941500,275.39,275.63,275.2,275.41,7,189,0
301,1703941560,275.41,275.51,275.21,275.51,4,187,0
302,1703941620,275.51,275.51,275.29,275.29,2,207,0
303,1703941680,275.29,276,274.75,276,11,188,0
304,1703941740,276.15,277.32,275.95,277.32,13,147,0
305,1703941800,277.32,277.71,277.21,277.71,8,157,0
306,1703941860,277.6,278,277.21,277.75,9,139,0
307,1703941920,277.75,277.93,277.56,277.93,6,148,0
308,1703941980,277.92,278.39,277.92,278.38,10,150,0
309,1703942040,278.28,278.28,277.51,277.6,10,133,0
310,1703942100,277.6,278.33,277.6,278.22,22,131,0
311,1703942160,277.91,278.22,277.81,278.22,14,164,0
312,1703942220,278.22,278.22,277.27,277.52,17,135,0
313,1703942280,277.52,277.52,277.52,277.52,1,156,0
314,1703942340,277.52,277.73,277.52,277.73,3,156,0
315,1703942400,277.84,277.84,277.27,277.53,6,146,0
316,1703942460,277.53,277.54,276.93,277.03,13,135,0
317,1703942520,276.73,277.15,276.47,276.75,11,131,0
318,1703942580,276.75,277.21,276.75,277.21,7,143,0
319,1703942640,276.96,277.29,276.65,277.14,10,121,0
320,1703942700,277.14,277.24,276.67,276.67,11,122,0
321,1703942760,276.47,276.94,276.47,276.94,9,135,0
322,1703942820,276.94,276.94,276.31,276.31,8,118,0
323,1703942880,276.31,277.05,276.31,276.89,9,118,0
324,1703942940,277.04,277.34,276.42,276.66,13,151,0
325,1703943000,276.66,277.01,276.66,277.01,3,155,0
326,1703943060,277.01,278.24,277.01,278.14,17,133,0
327,1703943120,278.14,278.14,277.05,277.12,7,131,0
328,1703943180,277.12,277.12,276.94,276.94,3,155,0
329,1703943240,276.94,277.12,276.84,276.84,5,155,0
330,1703943300,276.84,277.84,276.84,277.04,26,159,0
331,1703943360,277.24,277.74,276.94,277.04,25,193,0
332,1703943420,277.04,277.14,276.85,276.85,11,192,0
333,1703943480,276.85,277.24,276.85,276.85,19,182,0
334,1703943540,276.85,277.44,276.85,277.44,9,193,0
335,1703943600,277.49,277.87,277.24,277.84,25,180,0
336,1703943660,277.67,277.95,277.24,277.74,26,182,0
337,1703943720,277.64,277.94,277.04,277.94,22,183,0
338,1703943780,277.95,277.95,277.25,277.45,12,181,0
339,1703943840,277.55,277.77,277.25,277.65,9,181,0
340,1703943900,277.57,277.66,277.45,277.66,5,179,0
341,1703943960,277.26,278.04,277.26,277.86,12,171,0
342,1703944020,277.66,278.47,277.66,278.15,10,153,0
343,1703944080,278.25,278.47,277.59,278.05,12,152,0
344,1703944140,277.95,277.95,277.65,277.85,4,151,0
345,1703944200,277.75,277.85,277.65,277.85,4,161,0
346,1703944260,277.85,277.96,276.25,276.26,31,180,0
347,1703944320,276.45,276.98,276.45,276.98,12,201,0
348,1703944380,277.15,277.15,276.68,276.95,17,191,0
349,1703944440,276.75,277.15,276.65,276.95,14,181,0
350,1703944500,276.95,277.85,276.95,277.85,9,156,0
351,1703944560,278.01,278.16,277.48,277.95,8,160,0
352,1703944620,277.75,277.85,277.35,277.85,8,181,0
353,1703944680,277.98,277.98,276.95,277.45,8,168,0
354,1703944740,277.05,277.75,277.05,277.75,7,181,0
355,1703944800,277.35,277.75,277.25,277.55,14,177,0
356,1703944860,277.55,277.55,276.65,277.05,8,180,0
357,1703944920,277.05,277.15,276.45,276.65,10,181,0
358,1703944980,276.75,277.35,276.55,277.16,17,179,0
359,1703945040,277.16,277.16,276.36,276.66,6,189,0
360,1703945100,276.66,276.86,276.46,276.66,10,179,0
361,1703945160,276.66,276.86,276.66,276.76,4,189,0
362,1703945220,276.76,276.96,276.45,276.45,9,189,0
363,1703945280,276.45,276.55,275.68,275.89,12,170,0
364,1703945340,276.04,276.24,275.67,276.14,15,180,0
365,1703945400,275.84,276.84,275.84,276.84,16,193,0
366,1703945460,276.67,277.04,276.24,276.44,19,183,0
367,1703945520,276.42,276.94,276.04,276.54,11,193,0
368,1703945580,276.97,277.34,276.64,276.84,9,180,0
369,1703945640,276.84,276.84,275.67,275.94,13,180,0
370,1703945700,275.84,275.84,274.84,275.14,16,163,0
371,1703945760,275.34,275.74,275.04,275.74,16,193,0
372,1703945820,275.64,275.84,274.94,275.04,18,193,0
373,1703945880,275.14,275.64,274.94,275.64,23,193,0
374,1703945940,275.32,275.54,274.94,275.04,11,193,0
375,1703946000,274.94,275.63,274.83,275.33,24,176,0
376,1703946060,274.93,275.53,274.93,275.53,14,185,0
377,1703946120,275.44,275.44,274.83,274.83,4,164,0
378,1703946180,274.84,274.84,274.02,274.02,6,155,0
379,1703946240,274.02,274.02,273.81,273.81,2,167,0
380,1703946300,273.81,274.31,273.81,274.01,17,184,0
381,1703946360,273.91,274.21,273.91,274.11,7,189,0
382,1703946420,273.81,274.41,273.81,274.31,13,188,0
383,1703946480,274.31,274.42,273.82,274.12,13,187,0
384,1703946540,274.02,274.54,273.93,274.14,18,193,0
385,1703946600,274.24,275.14,274.04,275.04,28,183,0
